A	0	6
A	1	2
A	2	6
A	3	2
A	4	2
A	5	1
A	6	8
A	7	4
A	8	1
A	9	1
X	8	0
X	8	0
X	2	3
X	7	1
X	2	4
X	6	2
X	3	0
X	5	0
X	9	0
X	9	0
X	4	1
X	5	0
X	4	1
X	1	0
X	4	0
X	0	0
X	5	0
X	5	0
X	9	0
X	1	1
X	1	1
X	6	6
X	4	1
X	0	3
X	8	0
X	6	7
X	6	7
X	8	0
X	7	2
X	6	4
X	9	0
X	7	2
X	1	1
X	5	0
X	2	3
X	4	0
X	3	0
X	2	4
X	2	5
X	5	0
X	2	3
X	4	1
X	8	0
X	5	0
X	9	0
X	7	1
X	4	0
X	5	0
X	7	3
X	2	1
X	6	5
X	7	3
X	1	1
X	7	2
X	3	1
X	9	0
X	2	4
X	1	0
X	6	5
X	5	0
X	7	0
X	3	0
X	5	0
X	4	0
X	4	0
X	6	6
X	3	0
X	8	0
X	6	1
X	1	1
X	5	0
X	0	4
X	1	1
X	9	0
X	0	0
X	4	1
X	7	0
X	8	0
X	4	0
X	8	0
X	8	0
X	1	0
X	3	1
X	2	1
X	9	0
X	7	0
X	7	0
X	6	3
X	9	0
X	2	3
X	4	0
X	7	3
X	3	1
X	7	3
X	6	7
X	5	0
X	9	0
X	3	0
X	8	0
X	7	2
X	6	1
X	1	1
X	5	0
X	0	1
X	3	0
X	4	1
X	4	0
X	8	0
X	8	0
X	9	0
X	4	0
X	4	0
X	4	1
X	5	0
X	4	0
X	9	0
X	2	1
X	1	0
X	0	2
X	9	0
X	4	1
X	8	0
X	7	2
X	4	1
X	8	0
X	0	4
X	1	1
X	9	0
X	7	0
X	3	0
X	4	1
X	5	0
X	0	0
X	5	0
X	6	5
X	1	1
X	0	4
X	6	6
X	4	1
X	9	0
X	7	0
X	2	2
X	9	0
X	5	0
X	4	1
X	5	0
X	0	2
X	9	0
X	4	1
X	9	0
X	9	0
X	6	4
X	0	4
X	8	0
X	2	1
X	7	0
F	9	0
F	0	2
F	3	1
F	6	3
F	8	0
F	1	0
X	6	5
X	4	1
X	6	1
X	1	1
X	1	1
X	6	6
X	7	3
X	5	0
X	3	0
X	4	1
X	6	5
X	0	1
X	7	0
X	4	0
X	5	0
X	0	5
X	6	2
X	2	4
X	3	0
X	2	3
X	6	7
X	4	0
X	2	3
X	5	0
X	4	1
X	1	1
X	7	0
X	7	3
X	3	0
X	4	0
X	7	2
X	2	1
X	4	0
X	7	0
X	4	0
X	4	0
X	5	0
X	2	4
X	2	2
X	2	4
X	6	1
X	2	2
A	10	6
A	11	7
A	12	4
A	13	7
A	14	3
A	15	9
A	16	6
A	17	7
A	18	3
A	19	5
A	20	10
A	21	2
A	22	6
A	23	9
A	24	6
A	25	4
A	26	5
A	27	6
A	28	2
A	29	6
A	30	9
A	31	9
A	32	7
A	33	1
A	34	4
A	35	9
A	36	10
A	37	1
A	38	6
A	39	10
A	40	9
A	41	8
A	42	2
A	43	5
A	44	3
A	45	5
A	46	1
A	47	7
A	48	8
A	49	9
A	50	4
A	51	6
A	52	7
A	53	4
A	54	2
A	55	9
A	56	2
A	57	5
A	58	5
A	59	2
A	60	3
A	61	8
A	62	9
A	63	6
X	55	7
X	45	2
X	14	0
X	44	2
X	61	0
X	49	3
X	25	3
X	4	1
X	29	3
X	28	0
X	38	3
X	39	8
X	7	0
X	56	1
X	10	1
X	11	3
X	4	1
X	53	2
X	20	8
X	44	2
X	56	1
X	48	7
X	11	2
X	22	4
X	31	6
X	47	6
X	51	3
X	25	2
X	17	2
X	33	0
X	7	2
X	20	0
X	63	4
X	33	0
X	61	3
X	44	0
X	53	3
X	49	1
X	7	1
X	19	0
X	24	2
X	1	1
X	44	2
X	13	6
X	5	0
X	37	0
X	48	4
X	50	1
X	38	1
X	58	3
X	39	4
X	52	5
X	22	4
X	60	0
X	1	1
X	4	1
X	12	2
X	26	0
X	31	4
X	59	1
X	46	0
X	10	3
X	15	8
X	53	0
X	14	1
X	55	0
X	18	0
X	45	2
X	36	6
X	36	9
X	55	4
X	1	1
X	18	1
X	11	1
X	18	2
X	1	1
X	51	5
X	5	0
X	59	0
X	40	2
X	30	2
X	25	1
X	28	0
X	50	2
X	63	5
X	30	6
X	1	1
X	55	4
X	4	0
X	18	1
X	26	2
X	63	0
X	45	1
X	25	0
X	17	4
X	37	0
X	13	1
X	61	7
X	4	0
X	28	0
X	51	2
X	19	2
X	26	0
X	37	0
X	62	3
X	1	1
X	49	0
X	17	2
X	36	9
X	59	0
X	48	3
X	58	2
X	24	3
X	43	1
X	5	0
X	22	5
X	51	2
X	38	1
X	60	1
X	5	0
X	63	4
X	20	0
X	45	0
X	4	1
X	48	4
X	20	7
X	56	1
X	39	9
X	34	3
X	1	1
X	3	0
X	36	3
X	57	3
X	32	2
X	0	4
X	16	4
X	41	4
X	62	7
X	39	0
X	10	5
X	53	2
X	19	1
X	22	0
X	15	5
X	56	1
X	59	0
X	50	3
X	44	2
X	44	0
